Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,state.voltage_input,state.temperature_pcb,state.current_motor,state.current_input,state.speed,state.duty_cycle,state.charge_drawn,state.charge_regen,state.energy_drawn,state.energy_regen,state.displacement,state.distance_traveled,state.fault_code
1645707123.5009089,79207,1645707123,500103538,,0.0,0.0,0.34,0.0,194.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,18
1645707123.5210905,79208,1645707123,520296281,,0.0,0.0,0.33,0.0,197.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,210
1645707123.5417016,79209,1645707123,540699418,,0.0,0.0,0.16,0.0,199.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,203
1645707123.5631835,79210,1645707123,562310013,,0.0,0.0,-0.34,0.0,206.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,135
1645707123.5859585,79211,1645707123,581889683,,0.0,0.0,-0.33,0.0,213.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,120
1645707123.6041389,79212,1645707123,600846040,,0.0,0.0,-0.36,0.0,221.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,217
1645707123.6212425,79213,1645707123,620300113,,0.0,0.0,-0.34,0.0,226.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,221
1645707123.6444194,79214,1645707123,641781207,,0.0,0.0,-0.35,0.0,229.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,180
1645707123.661191,79215,1645707123,660314471,,0.0,0.0,-0.23,0.0,228.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,59
1645707123.6817057,79216,1645707123,680300691,,0.0,0.0,0.34,0.0,224.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,226
1645707123.7011738,79217,1645707123,700284831,,0.0,0.0,0.34,0.0,218.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,166
1645707123.7221618,79218,1645707123,721007672,,0.0,0.0,0.35,0.0,210.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,67
1645707123.743235,79219,1645707123,741676755,,0.0,0.0,0.34,0.0,204.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,171
1645707123.7625468,79220,1645707123,761635871,,0.0,0.0,0.34,0.0,201.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,187
1645707123.7820132,79221,1645707123,780422857,,0.0,0.0,0.36,0.0,194.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,121
1645707123.8032339,79222,1645707123,801710804,,0.0,0.0,0.35,0.0,197.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,172
1645707123.8214464,79223,1645707123,820421375,,0.0,0.0,0.09,0.0,199.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,53
1645707123.8412135,79224,1645707123,840344397,,0.0,0.0,-0.37,0.0,205.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,69
1645707123.8641071,79225,1645707123,861597849,,0.0,0.0,-0.33,0.0,213.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,117
1645707123.881432,79226,1645707123,880505407,,0.0,0.0,-0.34,0.0,219.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,16
1645707123.901649,79227,1645707123,900425645,,0.0,0.0,-0.35,0.0,227.0,0.0,8323072.0,4259840.0,0.0,0.0,0.0,54788096.0,129
1645707123.9247358,79228,1645707123,922412742,,0.0,0.0,-0.33,0.0,228.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,73
1645707123.9422474,79229,1645707123,940699164,,0.0,0.0,-0.32,0.0,228.0,0.0,8388608.0,4259840.0,0.0,0.0,0.0,54788096.0,64
